symbol,price,change,change_percent,timestamp,source
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:20,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:21,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:25,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:26,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:30,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:31,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:35,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:36,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:40,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:41,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:45,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:46,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:50,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:51,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:55,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:56,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:00,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:01,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:05,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:06,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:10,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:11,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:15,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:16,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:20,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:21,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:25,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:27,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:30,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:32,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:35,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:37,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:40,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:42,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:45,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:47,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:50,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:52,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:55,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:39:57,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:40:00,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:40:02,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:40:05,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:40:07,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:40:10,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:40:12,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:40:15,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:40:17,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:41:50,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:41:51,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:41:51,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:41:51,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:41:51,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:41:51,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:41:51,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:41:51,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:41:51,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:41:51,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:41:56,yfinance
